iter	Passed	Remaining
331	1208	2430
332	1211	2426
333	1215	2423
334	1218	2419
335	1222	2415
336	1226	2411
337	1229	2408
338	1233	2404
339	1236	2400
340	1240	2396
341	1243	2392
342	1247	2388
343	1250	2384
344	1253	2380
345	1257	2376
346	1260	2372
347	1264	2369
348	1268	2365
349	1272	2362
350	1275	2358
351	1279	2354
352	1282	2351
353	1286	2347
354	1289	2343
355	1293	2339
356	1296	2335
357	1300	2331
358	1303	2328
359	1307	2324
360	1310	2320
361	1314	2316
362	1317	2312
363	1321	2309
364	1325	2305
365	1329	2302
366	1332	2298
367	1336	2294
368	1339	2291
369	1343	2287
370	1347	2283
371	1350	2280
372	1354	2276
373	1358	2273
374	1362	2270
375	1366	2267
376	1369	2263
377	1373	2260
378	1377	2256
379	1380	2252
380	1384	2248
381	1387	2244
382	1391	2241
383	1394	2237
384	1398	2233
385	1401	2229
386	1405	2225
387	1408	2221
388	1411	2217
389	1415	2213
390	1419	2210
391	1422	2206
392	1426	2202
393	1429	2198
394	1433	2195
395	1437	2191
396	1440	2188
397	1444	2184
398	1448	2181
399	1451	2177
400	1455	2173
401	1458	2170
402	1462	2166
403	1466	2163
404	1469	2159
405	1473	2155
406	1476	2151
407	1480	2148
408	1484	2144
409	1487	2140
410	1490	2136
411	1495	2134
412	1499	2131
413	1503	2127
414	1506	2124
415	1510	2120
416	1514	2116
417	1517	2112
418	1520	2109
419	1524	2105
420	1528	2101
421	1531	2097
422	1535	2094
423	1538	2090
424	1542	2086
425	1545	2083
426	1549	2079
427	1552	2075
428	1556	2071
429	1559	2067
430	1563	2064
431	1567	2060
432	1570	2057
433	1574	2053
434	1578	2050
435	1581	2046
436	1585	2042
437	1589	2039
438	1592	2035
439	1596	2031
440	1599	2028
441	1603	2024
442	1606	2020
443	1610	2016
444	1614	2013
445	1617	2009
446	1621	2005
447	1624	2001
448	1628	1998
449	1631	1994
450	1635	1990
451	1638	1986
452	1642	1983
453	1645	1979
454	1649	1975
455	1652	1971
456	1656	1967
457	1659	1964
458	1663	1960
459	1666	1956
460	1670	1952
461	1673	1949
462	1677	1945
463	1680	1941
464	1684	1937
465	1687	1934
466	1691	1930
467	1695	1926
468	1698	1923
469	1702	1919
470	1705	1915
471	1709	1912
472	1712	1908
473	1716	1904
474	1720	1901
475	1723	1897
476	1726	1893
477	1730	1889
478	1733	1886
479	1737	1882
480	1741	1878
481	1744	1875
482	1748	1871
483	1751	1867
484	1755	1864
485	1759	1860
486	1762	1856
487	1766	1853
488	1769	1849
489	1773	1845
490	1777	1842
491	1780	1838
492	1784	1834
493	1787	1830
494	1791	1827
495	1795	1824
496	1798	1820
497	1802	1816
498	1806	1813
499	1809	1809
500	1813	1806
501	1817	1802
502	1820	1799
503	1824	1795
504	1828	1792
505	1832	1788
506	1835	1784
507	1839	1781
508	1842	1777
509	1846	1773
510	1849	1770
511	1853	1766
512	1857	1763
513	1860	1759
514	1865	1756
515	1868	1752
516	1872	1749
517	1876	1746
518	1880	1742
519	1883	1738
520	1887	1735
521	1890	1731
522	1893	1727
523	1897	1723
524	1901	1720
525	1905	1716
526	1908	1713
527	1912	1709
528	1916	1706
529	1920	1703
530	1923	1699
531	1927	1695
532	1931	1691
533	1934	1688
534	1938	1684
535	1941	1680
536	1945	1677
537	1949	1674
538	1952	1670
539	1956	1666
540	1959	1662
541	1963	1659
542	1967	1655
543	1970	1651
544	1974	1648
545	1977	1644
546	1981	1640
547	1984	1636
548	1987	1632
549	1991	1629
550	1994	1625
551	1998	1622
552	2002	1618
553	2005	1614
554	2009	1610
555	2012	1607
556	2016	1603
557	2019	1599
558	2023	1596
559	2026	1592
560	2029	1588
561	2033	1584
562	2037	1581
563	2040	1577
564	2044	1574
565	2048	1570
566	2051	1566
567	2055	1563
568	2059	1559
569	2062	1556
570	2066	1552
571	2069	1548
572	2073	1545
573	2077	1541
574	2080	1538
575	2084	1534
576	2088	1530
577	2091	1527
578	2095	1523
579	2099	1519
580	2102	1516
581	2106	1512
582	2109	1508
583	2112	1505
584	2116	1501
585	2120	1497
586	2123	1494
587	2127	1490
588	2130	1486
589	2134	1483
590	2137	1479
591	2141	1475
592	2144	1472
593	2148	1468
594	2151	1464
595	2155	1460
596	2158	1457
597	2161	1453
598	2165	1449
599	2168	1445
600	2172	1442
601	2175	1438
602	2179	1434
603	2182	1431
604	2186	1427
605	2190	1423
606	2193	1420
607	2196	1416
608	2199	1412
609	2203	1408
610	2206	1404
611	2210	1401
612	2213	1397
613	2216	1393
614	2220	1389
615	2223	1386
616	2227	1382
617	2230	1379
618	2234	1375
619	2238	1371
620	2241	1368
621	2245	1364
622	2248	1360
623	2252	1357
624	2255	1353
625	2258	1349
626	2262	1345
627	2265	1341
628	2269	1338
629	2272	1334
630	2275	1330
631	2279	1327
632	2283	1323
633	2286	1319
634	2290	1316
635	2293	1312
636	2297	1309
637	2300	1305
638	2304	1301
639	2307	1297
640	2311	1294
641	2314	1290
642	2318	1287
643	2321	1283
644	2325	1279
645	2328	1276
646	2332	1272
647	2335	1268
648	2339	1265
649	2342	1261
650	2346	1257
651	2349	1254
652	2353	1250
653	2357	1247
654	2360	1243
655	2363	1239
656	2367	1235
657	2370	1232
658	2374	1228
659	2377	1224
660	2381	1221
661	2384	1217
662	2388	1213
663	2391	1210
664	2395	1206
665	2398	1202
666	2402	1199
667	2405	1195
668	2409	1191
669	2412	1188
670	2416	1184
671	2419	1181
672	2423	1177
673	2425	1173
674	2429	1169
675	2432	1165
676	2436	1162
677	2439	1158
678	2443	1155
679	2446	1151
680	2450	1147
681	2453	1144
682	2457	1140
683	2460	1136
684	2464	1133
685	2468	1129
686	2471	1126
687	2475	1122
688	2479	1119
689	2482	1115
690	2486	1111
691	2490	1108
692	2493	1104
693	2497	1101
694	2500	1097
695	2504	1093
696	2507	1090
697	2511	1086
698	2515	1083
699	2518	1079
700	2522	1075
701	2526	1072
702	2530	1068
703	2533	1065
704	2537	1061
705	2540	1058
706	2544	1054
707	2548	1050
708	2551	1047
709	2555	1043
710	2559	1040
711	2562	1036
712	2566	1033
713	2570	1029
714	2573	1025
715	2577	1022
716	2580	1018
717	2584	1015
718	2588	1011
719	2591	1007
720	2595	1004
721	2599	1000
722	2602	997
723	2606	993
724	2609	989
725	2613	986
726	2616	982
727	2620	979
728	2623	975
729	2627	971
730	2631	968
731	2634	964
732	2638	961
733	2641	957
734	2645	953
735	2648	950
736	2652	946
737	2656	942
738	2659	939
739	2663	935
740	2667	932
741	2670	928
742	2674	925
743	2677	921
744	2681	917
745	2685	914
746	2688	910
747	2692	906
748	2695	903
749	2699	899
750	2703	896
751	2706	892
752	2710	888
753	2714	885
754	2717	881
755	2721	878
756	2724	874
757	2728	871
758	2731	867
759	2735	863
760	2739	860
761	2742	856
762	2746	852
763	2749	849
764	2753	845
765	2756	842
766	2760	838
767	2763	834
768	2767	831
769	2771	827
770	2774	824
771	2778	820
772	2781	816
773	2785	813
774	2788	809
775	2792	806
776	2795	802
777	2799	798
778	2803	795
779	2806	791
780	2810	787
781	2813	784
782	2816	780
783	2820	777
784	2824	773
785	2827	769
786	2831	766
787	2834	762
788	2838	759
789	2842	755
790	2845	751
791	2849	748
792	2852	744
793	2856	741
794	2859	737
795	2863	733
796	2866	730
797	2870	726
798	2874	722
799	2877	719
800	2881	715
801	2884	712
802	2888	708
803	2891	704
804	2895	701
805	2899	697
806	2902	694
807	2906	690
808	2909	686
809	2913	683
810	2916	679
811	2920	676
812	2923	672
813	2927	668
814	2931	665
815	2934	661
816	2938	658
817	2941	654
818	2945	650
819	2949	647
820	2952	643
821	2956	640
822	2959	636
823	2963	632
824	2967	629
825	2970	625
826	2974	622
827	2977	618
828	2981	614
829	2984	611
830	2988	607
831	2991	604
832	2995	600
833	2999	596
834	3002	593
835	3006	589
836	3009	586
837	3013	582
838	3016	578
839	3020	575
840	3023	571
841	3027	568
842	3031	564
843	3034	560
844	3038	557
845	3041	553
846	3044	550
847	3048	546
848	3051	542
849	3055	539
850	3058	535
851	3062	531
852	3065	528
853	3069	524
854	3072	521
855	3076	517
856	3079	513
857	3083	510
858	3087	506
859	3090	503
860	3094	499
861	3097	495
862	3101	492
863	3105	488
864	3108	485
865	3111	481
866	3115	477
867	3119	474
868	3122	470
869	3126	467
870	3129	463
871	3133	459
872	3137	456
873	3140	452
874	3144	449
875	3148	445
876	3151	442
877	3155	438
878	3158	434
879	3162	431
880	3165	427
881	3169	424
882	3172	420
883	3176	416
884	3179	413
885	3183	409
886	3187	406
887	3190	402
888	3194	398
889	3197	395
890	3201	391
891	3205	388
892	3209	384
893	3212	380
894	3216	377
895	3219	373
896	3223	370
897	3226	366
898	3230	362
899	3234	359
900	3237	355
901	3241	352
902	3244	348
903	3248	344
904	3252	341
905	3256	337
906	3260	334
907	3264	330
908	3267	327
909	3271	323
910	3275	319
911	3278	316
912	3282	312
913	3285	309
914	3289	305
915	3292	301
916	3296	298
917	3299	294
918	3303	291
919	3307	287
920	3310	283
921	3314	280
922	3317	276
923	3321	273
924	3325	269
925	3329	266
926	3333	262
927	3338	259
928	3342	255
929	3345	251
930	3348	248
931	3350	244
932	3353	240
933	3357	237
934	3360	233
935	3364	230
936	3367	226
937	3371	222
938	3375	219
939	3378	215
940	3382	212
941	3385	208
942	3389	204
943	3392	201
944	3395	197
945	3399	194
946	3402	190
947	3406	186
948	3410	183
949	3413	179
950	3417	176
951	3420	172
952	3424	168
953	3427	165
954	3431	161
955	3435	158
956	3439	154
957	3443	150
958	3446	147
959	3450	143
960	3454	140
961	3457	136
962	3461	132
963	3464	129
964	3468	125
965	3471	122
966	3475	118
967	3478	115
968	3482	111
969	3485	107
970	3489	104
971	3492	100
972	3496	97
973	3500	93
974	3503	89
975	3507	86
976	3510	82
977	3514	79
978	3518	75
979	3521	71
980	3525	68
981	3529	64
982	3534	61
983	3539	57
984	3544	53
985	3548	50
986	3552	46
987	3557	43
988	3560	39
989	3568	36
990	3572	32
991	3576	28
992	3580	25
993	3584	21
994	3588	18
995	3592	14
996	3596	10
997	3599	7
998	3603	3
999	3607	0
