iter	Logloss
0	0.6487184448
1	0.6044362793
2	0.5622459717
3	0.5253182373
4	0.4985609131
5	0.4606303711
6	0.4301668091
7	0.4042496338
8	0.3764621277
9	0.3537690735
10	0.3340523682
11	0.3119824829
12	0.2953857727
13	0.278854126
14	0.2630571289
15	0.2495763245
16	0.2403355713
17	0.2282870026
18	0.2177310791
19	0.2100348511
20	0.2018756561
21	0.1930374908
22	0.1844068909
23	0.1786304169
24	0.1722636719
25	0.166108017
26	0.1609524231
27	0.1561781464
28	0.151529541
29	0.1481956177
30	0.1442962341
31	0.1414822693
32	0.1380893555
33	0.1351642303
34	0.1326298828
35	0.1301405945
36	0.1277495728
37	0.1257608185
38	0.1236343384
39	0.1214900894
40	0.1197608566
41	0.1180321198
42	0.1164310913
43	0.1148720474
44	0.1136833267
45	0.112492569
46	0.1115751572
47	0.1105806503
48	0.1096793594
49	0.1086340637
50	0.1079570465
51	0.1073165436
52	0.1068324509
53	0.1060792236
54	0.1054798584
55	0.1048539581
56	0.1043590546
57	0.1038631058
58	0.1036043549
59	0.1031070404
60	0.102717247
61	0.1021997147
62	0.101782074
63	0.1012362976
64	0.1007362137
65	0.1003991776
66	0.1000083008
67	0.09971160126
68	0.09941740417
69	0.09907252502
70	0.09871084595
71	0.09841082001
72	0.09816971588
73	0.09793683624
74	0.0977151947
75	0.09741085815
76	0.09721936035
77	0.09700562286
78	0.09683253479
79	0.09665681458
80	0.09635351562
81	0.09621647644
82	0.09609573364
83	0.09591003418
84	0.09571512604
85	0.095563591
86	0.09538273621
87	0.09528894043
88	0.09515248108
89	0.0949960556
90	0.09487072754
91	0.09480371094
92	0.09463298035
93	0.09452087402
94	0.09442945862
95	0.09431225586
96	0.09424078369
97	0.09417990875
98	0.09409553528
99	0.09400457001
100	0.09382128143
101	0.09372064209
102	0.09360189819
103	0.09345506287
104	0.09337883759
105	0.09330867004
106	0.09320977783
107	0.09315348053
108	0.09307020569
109	0.09299430847
110	0.09294226074
111	0.09288648987
112	0.09284371185
113	0.09279535675
114	0.09273187256
115	0.09266429138
116	0.09260923767
117	0.09251080322
118	0.09243399048
119	0.0923799057
120	0.09231723022
121	0.09222290039
122	0.09215060425
123	0.09210237122
124	0.09202262115
125	0.09199032593
126	0.09189587402
127	0.09181784058
128	0.0917634964
129	0.09170314026
130	0.09167420959
131	0.09163734436
132	0.09156316376
133	0.0914741745
134	0.09143156433
135	0.09136755371
136	0.09130328369
137	0.09127709961
138	0.09126352692
139	0.09118264771
140	0.09113998413
141	0.09107868958
142	0.09102069855
143	0.09094116211
144	0.09089918518
145	0.09086022949
146	0.09079323578
147	0.09075520325
148	0.09069567871
149	0.09064121246
150	0.09058970642
151	0.09055227661
152	0.09050363159
153	0.09046099854
154	0.0904152832
155	0.09037213898
156	0.09032743835
157	0.09026948547
158	0.09023414612
159	0.09019145966
160	0.0901652832
161	0.09011373901
162	0.09004576111
163	0.09000524902
164	0.0899132843
165	0.08987332916
166	0.08979853821
167	0.08974003601
168	0.08969891357
169	0.08964547729
170	0.08960677338
171	0.08955082703
172	0.08949716187
173	0.08945520782
174	0.08943690491
175	0.08941139984
176	0.08936109924
177	0.08931401062
178	0.08929917908
179	0.08927897644
180	0.08924656677
181	0.08919248962
182	0.08912824249
183	0.08909849548
184	0.08903375244
185	0.08899282837
186	0.08896907043
187	0.08893878174
188	0.08889584351
189	0.08885435486
190	0.08882281494
191	0.08878222656
192	0.08874531555
193	0.08871942139
194	0.08868911743
195	0.08866590881
196	0.08863789368
197	0.08860614014
198	0.08859284973
199	0.08853909302
200	0.08851224518
201	0.08846308899
202	0.0884262619
203	0.08838713074
204	0.08836846161
205	0.0883303833
206	0.08829846954
207	0.08825583649
208	0.08820759583
209	0.08816468811
210	0.08814730072
211	0.08811260223
212	0.08809034729
213	0.08806776428
214	0.08802067566
215	0.08798647308
216	0.08795948792
217	0.08792224121
218	0.08788306427
219	0.08779566956
220	0.08775027466
221	0.08771104431
222	0.08767476654
223	0.08765818787
224	0.08762915802
